CustomerID,Customer Age,Customer Gender
230459067,38,M
230459068,38,M
230459069,38,M
230459072,38,M
230459073,38,M
230459074,38,M
230459075,38,M
230459076,38,M
230459077,37,M
230459078,37,M
230459079,37,M
230459080,37,M
230459081,37,F
230459082,37,F
230459089,39,M
230459090,39,M
230459091,38,M
230459092,38,M
230459093,38,M
230459094,38,M
230459095,38,M
230459096,38,M
230459097,38,F
230459098,38,F
230459099,37,F
230459100,37,F
230459101,37,F
230459102,37,F
230459103,37,F
230459104,37,F
230459105,37,F
230459106,37,F
230459107,37,F
230459108,37,F
230459109,37,M
230459112,37,M
230459113,37,M
230459114,37,M
230459115,37,M
230459116,37,M
230459117,37,M
230459118,37,M
230459119,37,M
230459120,37,M
230459121,36,F
230459128,20,M
230459129,20,M
230459130,20,M
230459131,20,M
230459132,20,M
230459133,20,M
230459134,20,M
230459137,20,M
230459138,20,M
230459139,20,M
230459140,20,M
230459141,20,M
230459142,20,M
230459143,20,M
230459144,20,M
230459145,19,M
230459147,18,M
230459148,18,M
230459149,18,M
230459150,18,M
230459151,18,M
230459152,18,M
230459153,37,M
230459154,37,M
230459155,37,M
230459156,20,M
230459157,37,M
230459160,20,M
230459161,37,M
230459162,37,M
230459163,20,M
230459164,20,M
230459165,20,M
230459166,20,M
230459167,20,M
230459168,20,M
230459169,19,F
230459170,19,F
230459171,19,F
230459172,19,F
230459173,19,F
230459174,19,F
230459175,19,F
230459176,19,F
230459177,19,F
230459178,19,F
230459179,19,F
230459180,19,F
230459181,19,F
230459182,19,F
230459183,19,F
230459186,19,F
230459187,19,F
230459188,19,F
230459189,19,F
230459190,19,F
230459191,19,F
230459192,19,F
230459193,19,F
230459194,19,F
230459195,19,F
230459196,19,F
230459197,17,M
230459198,17,M
230459199,55,M
230459205,55,M
230459206,55,M
230459207,55,M
230459208,55,M
230459209,59,F
230459210,59,F
230459211,59,F
230459212,59,F
230459213,60,F
230459214,60,F
230459215,60,F
230459216,60,F
230459217,60,F
230459218,60,F
230459219,60,F
230459220,60,F
230459221,60,F
230459222,60,F
230459223,60,F
230459224,60,F
230459225,41,M
230459227,41,M
230459228,41,M
230459229,61,F
230459230,61,F
230459231,36,M
230459232,36,M
230459233,36,M
230459234,36,M
230459235,36,M
230459236,36,M
230459237,36,M
230459238,36,M
230459239,36,M
230459241,36,M
230459242,36,M
230459243,36,M
230459244,36,M
230459245,36,M
230459246,36,M
230459247,36,M
230459248,36,M
230459249,36,M
230459250,36,M
230459251,35,F
230459252,35,F
230459253,35,F
230459254,35,F
230459255,35,F
230459256,35,F
230459257,35,M
230459258,35,M
230459259,35,M
230459260,35,M
230459261,35,M
230459264,35,M
230459265,35,M
230459266,35,M
230459267,35,M
230459268,35,M
230459269,35,M
230459270,35,M
230459271,35,M
230459272,35,M
230459273,35,M
230459274,35,M
230459275,35,M
230459276,35,M
230459279,35,M
230459280,35,M
230459281,35,M
230459282,35,M
230459283,35,M
230459284,35,M
230459285,35,M
230459286,35,M
230459287,35,F
230459288,35,F
230459289,35,F
230459290,35,F
230459291,35,F
230459292,35,F
230459293,35,F
230459294,35,F
230459295,35,F
230459296,35,F
230459299,22,M
230459300,22,M
230459301,22,M
230459302,22,M
230459303,22,M
230459304,22,M
230459305,22,M
230459306,22,M
230459307,22,F
230459308,22,F
230459309,22,F
230459310,22,F
230459311,22,F
230459312,22,F
230459313,22,F
230459314,22,F
230459315,22,F
230459316,22,F
230459317,23,M
230459318,23,M
230459319,23,M
230459320,23,M
230459321,23,M
230459322,23,M
230459323,23,M
230459324,23,M
230459325,23,M
230459326,23,M
230459327,23,M
230459328,23,M
230459329,23,M
230459330,23,M
230459331,23,M
230459332,23,M
230459333,23,M
230459334,23,M
230459335,23,M
230459336,23,M
230459337,23,M
230459338,23,M
230459339,23,M
230459340,23,M
230459341,23,M
230459342,23,M
230459343,23,M
230459344,23,M
230459345,23,M
230459346,23,M
230459347,23,M
230459348,23,M
230459349,23,M
230459350,23,M
230459351,23,M
230459352,23,M
230459353,23,M
230459354,23,M
230459355,23,M
230459356,23,M
230459357,23,M
230459358,23,M
230459359,23,M
230459360,23,M
230459361,23,M
230459362,23,M
230459363,23,M
230459364,23,M
230459365,23,M
230459366,23,M
230459367,23,M
230459368,23,M
230459369,23,M
230459370,23,M
230459371,23,M
230459372,23,M
230459373,23,M
230459374,23,M
230459375,23,M
230459376,23,M
230459377,23,M
230459378,23,M
